macro_code;pit_date;pit_index;pit_value;time_series_value
hpi;2007-06-30;49.0;1.156;0.01225919439579686
inflation;2007-06-30;125.0;0.018;0.018
hicp;2007-07-31;;87.94;-0.007561223338223696
inflation;2007-07-31;126.0;0.014;0.014
hicp;2007-08-31;;88.05;0.001250852854218779
inflation;2007-08-31;127.0;0.011;0.011
gdp_growth;2007-09-30;46.0;0.042;0.042
hicp;2007-09-30;;88.66;0.006927881885292441
hpi;2007-09-30;50.0;1.173;0.014705882352941287
inflation;2007-09-30;128.0;0.013;0.013
hicp;2007-10-31;;88.79;0.001466275659824156
inflation;2007-10-31;129.0;0.016;0.016
hicp;2007-11-30;;88.93;0.001576754138979621
inflation;2007-11-30;130.0;0.018;0.018
gdp_growth;2007-12-31;47.0;0.042;0.042
hicp;2007-12-31;;88.45;-0.0053975036545598105
hpi;2007-12-31;51.0;1.177;0.003410059676044334
inflation;2007-12-31;131.0;0.016;0.016
unemployment_rate;2007-12-31;37.0;0.042;0.042
hicp;2008-01-31;;88.42;-0.00033917467495761603
inflation;2008-01-31;132.0;0.018;0.018
hicp;2008-02-29;;89.17;0.008482243836236145
inflation;2008-02-29;133.0;0.02;0.02
gdp_growth;2008-03-31;48.0;0.034;0.034
hicp;2008-03-31;;90.23;0.011887406078277473
hpi;2008-03-31;52.0;1.192;0.012744265080713595
inflation;2008-03-31;134.0;0.019;0.019
hicp;2008-04-30;;90.55;0.0035464922974619657
inflation;2008-04-30;135.0;0.017;0.017
hicp;2008-05-31;;90.92;0.004086140254003364
inflation;2008-05-31;136.0;0.021;0.021
gdp_growth;2008-06-30;49.0;0.033;0.033
hicp;2008-06-30;;90.66;-0.0028596568411791146
hpi;2008-06-30;53.0;1.193;0.0008389261744967382
inflation;2008-06-30;137.0;0.023;0.023
hicp;2008-07-31;;90.55;-0.0012133245091550788
inflation;2008-07-31;138.0;0.03;0.03
hicp;2008-08-31;;90.67;0.0013252346769740977
inflation;2008-08-31;139.0;0.03;0.03
gdp_growth;2008-09-30;50.0;0.024;0.024
hicp;2008-09-30;;91.13;0.005073342891805379
hpi;2008-09-30;54.0;1.206;0.010896898575020872
inflation;2008-09-30;140.0;0.028;0.028
hicp;2008-10-31;;90.98;-0.0016460002194666026
inflation;2008-10-31;141.0;0.025;0.025
hicp;2008-11-30;;90.61;-0.004066827874258129
inflation;2008-11-30;142.0;0.019;0.019
gdp_growth;2008-12-31;51.0;-0.004;-0.004
hicp;2008-12-31;;89.91;-0.007725416620682076
hpi;2008-12-31;55.0;1.197;-0.007462686567164094
inflation;2008-12-31;143.0;0.017;0.017
unemployment_rate;2008-12-31;38.0;0.037;0.037
hicp;2009-01-31;;89.95;0.00044488933377829224
inflation;2009-01-31;144.0;0.017;0.017
hicp;2009-02-28;;90.83;0.009783212896053313
inflation;2009-02-28;145.0;0.019;0.019
gdp_growth;2009-03-31;52.0;-0.038;-0.038
hicp;2009-03-31;;91.89;0.011670153033138855
hpi;2009-03-31;56.0;1.189;-0.006683375104427742
inflation;2009-03-31;146.0;0.018;0.018
hicp;2009-04-30;;92.21;0.003482424638154241
inflation;2009-04-30;147.0;0.018;0.018
hicp;2009-05-31;;92.31;0.0010844810758053197
inflation;2009-05-31;148.0;0.015;0.015
gdp_growth;2009-06-30;53.0;-0.046;-0.046
hicp;2009-06-30;;91.9;-0.004441555627775935
hpi;2009-06-30;57.0;1.159;-0.025231286795626598
inflation;2009-06-30;149.0;0.014;0.014
hicp;2009-07-31;;90.43;-0.015995647442872674
inflation;2009-07-31;150.0;-0.001;-0.001
hicp;2009-08-31;;90.61;0.001990489881676353
inflation;2009-08-31;151.0;-0.001;-0.001
gdp_growth;2009-09-30;54.0;-0.038;-0.038
hicp;2009-09-30;;91.11;0.0055181547290586025
hpi;2009-09-30;58.0;1.143;-0.01380500431406386
inflation;2009-09-30;152.0;0.0;0.0
hicp;2009-10-31;;91.35;0.0026341784655909877
inflation;2009-10-31;153.0;0.004;0.004
hicp;2009-11-30;;91.21;-0.0015325670498084355
inflation;2009-11-30;154.0;0.007;0.007
gdp_growth;2009-12-31;55.0;-0.024;-0.024
hicp;2009-12-31;;90.56;-0.007126411577677793
hpi;2009-12-31;59.0;1.133;-0.00874890638670167
inflation;2009-12-31;155.0;0.007;0.007
unemployment_rate;2009-12-31;39.0;0.044;0.044
hicp;2010-01-31;;90.3;-0.0028710247349823886
inflation;2010-01-31;156.0;0.004;0.004
hicp;2010-02-28;;91.15;0.00941306755260253
inflation;2010-02-28;157.0;0.004;0.004
gdp_growth;2010-03-31;56.0;-0.001;-0.001
hicp;2010-03-31;;92.49;0.014701042238068998
hpi;2010-03-31;60.0;1.132;-0.0008826125330980688
inflation;2010-03-31;158.0;0.007;0.007
hicp;2010-04-30;;92.81;0.0034598334955131087
inflation;2010-04-30;159.0;0.007;0.007
hicp;2010-05-31;;92.72;-0.0009697230901842841
inflation;2010-05-31;160.0;0.004;0.004
gdp_growth;2010-06-30;57.0;0.019;0.019
hicp;2010-06-30;;92.11;-0.006578947368421046
hpi;2010-06-30;61.0;1.133;0.0008833922261485089
inflation;2010-06-30;161.0;0.002;0.002
hicp;2010-07-31;;91.57;-0.005862555639995725
inflation;2010-07-31;162.0;0.013;0.013
hicp;2010-08-31;;91.7;0.0014196789341488444
inflation;2010-08-31;163.0;0.012;0.012
gdp_growth;2010-09-30;58.0;0.017;0.017
hicp;2010-09-30;;92.39;0.0075245365321700945
hpi;2010-09-30;62.0;1.134;0.0008826125330978728
inflation;2010-09-30;164.0;0.014;0.014
hicp;2010-10-31;;92.61;0.0023812100876718137
inflation;2010-10-31;165.0;0.014;0.014
hicp;2010-11-30;;92.47;-0.0015117157974300893
inflation;2010-11-30;166.0;0.014;0.014
